somay,distance,may0,may1,may2,may3,reward
2,0.2886688012785054,0.0,0.0,1.4676917281490771,0.0,1
0,0,0.25966666666666666,0.0,1.4676917281490771,0.0,1
0,0,0.5193333333333333,0.0,1.4676917281490771,0.0,1
2,0.2886688012785054,0.0,0.0,1.1176917281490772,0.0,1
2,0.2886688012785054,0.0,0.0,0.8213384361573329,0.0,1
2,0.2886688012785054,0.0,0.0,1.4721717694906662,0.0,1
0,0,0.26066666666666666,0.0,1.4721717694906662,0.0,1
0,0,0.5223333333333333,0.0,1.4721717694906662,0.0,1
0,0,0.7846666666666666,0.0,1.4721717694906662,0.0,1
2,0.2886688012785054,0.0,0.0,1.1296717694906662,0.0,1
2,0.2886688012785054,0.0,0.0,1.7880051028239996,0.0,0.8548477495752013
2,0.2886688012785054,0.0,0.0,1.4471717694906663,0.0,1
0,0,0.26366666666666666,0.0,1.4471717694906663,0.0,1
0,0,0.5276666666666667,0.0,1.4471717694906663,0.0,1
0,0,0.792,0.0,1.4471717694906663,0.0,1
0,0,1.0563333333333333,0.0,1.4471717694906663,0.0,1
0,0,1.3206666666666667,0.0,1.4471717694906663,0.0,1
2,0.2886688012785054,0.32066666666666666,0.0,1.1113384361573329,0.0,1
2,0.2886688012785054,0.32066666666666666,0.0,1.7771717694906664,0.0,0.8838053768450871
0,0,0.5876666666666667,0.0,1.7771717694906664,0.0,1
2,0.2886688012785054,0.0,0.0,1.4471717694906663,0.0,1
0,0,0.26866666666666666,0.0,1.4471717694906663,0.0,1
0,0,0.5373333333333333,0.0,1.4471717694906663,0.0,1
2,0.2886688012785054,0.0,0.0,1.118838436157333,0.0,1
2,0.2886688012785054,0.0,0.0,1.791338436157333,0.0,0.8824693203528974
0,0,0.2693333333333333,0.0,1.791338436157333,0.0,1
0,0,0.5389999999999999,0.0,1.791338436157333,0.0,1
2,0.2886688012785054,0.0,0.0,1.4655051028239998,0.0,1
0,0,0.27,0.0,1.4655051028239998,0.0,1
0,0,0.5406666666666666,0.0,1.4655051028239998,0.0,1
0,0,0.8119999999999999,0.0,1.4655051028239998,0.0,1
0,0,1.0833333333333333,0.0,1.4655051028239998,0.0,1
0,0,1.3563333333333332,0.0,1.4655051028239998,0.0,1
2,0.2886688012785054,0.35633333333333317,0.0,1.1496717694906664,0.0,1
2,0.2886688012785054,0.0,0.0,0.8600741722849351,0.0,1
2,0.2886688012785054,0.0,0.0,1.5442408389516018,0.0,1
2,0.2886688012785054,0.0,0.0,1.2309075056182683,0.0,1
2,0.2886688012785054,0.0,0.0,1.9192408389516018,0.0,0.8457056768347286
2,0.2886688012785054,0.0,0.0,1.6075741722849353,0.0,1
2,0.2886688012785054,0.0,0.0,1.296740838951602,0.0,1
2,0.2886688012785054,0.0,0.0,0.9859075056182687,0.0,1
2,0.2886688012785054,0.0,0.0,1.6759075056182686,0.0,0.999920618165154
0,0,0.277,0.0,1.6759075056182686,0.0,1
2,0.2886688012785054,0.0,0.0,1.3684075056182685,0.0,1
2,0.2886688012785054,0.0,0.0,1.0617408389516019,0.0,1
2,0.2886688012785054,0.0,0.0,1.7550741722849352,0.0,0.9551361217841106
0,0,0.2776666666666667,0.0,1.7550741722849352,0.0,1
0,0,0.556,0.0,1.7550741722849352,0.0,1
0,0,0.8346666666666667,0.0,1.7550741722849352,0.0,1
2,0.2886688012785054,0.0,0.0,1.4525741722849352,0.0,1
0,0,0.2796666666666667,0.0,1.4525741722849352,0.0,1
0,0,0.5609999999999999,0.0,1.4525741722849352,0.0,1
0,0,0.8426666666666667,0.0,1.4525741722849352,0.0,1
